,KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
0,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-02,0.83118,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
1,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-03,0.82993,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
2,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-06,0.83098,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
3,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-07,0.82915,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
4,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-08,0.83403,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
5,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-09,0.83808,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
6,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-10,0.83693,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
7,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-13,0.8416,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
8,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-14,0.84288,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
9,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-15,0.84313,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
10,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-16,0.84258,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
11,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-17,0.84453,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
12,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-20,0.84588,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
13,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-21,0.84553,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
14,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-22,0.84466,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
15,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-23,0.84468,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
16,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-24,0.84413,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
17,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-27,0.84106,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
18,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-28,0.83868,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
19,EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2025-01-29,0.83723,A,F,,,P1D,,A,,,,,,,99Q1=100,,,5.0,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0.0
